question,short_answ,long_answ,explanation
what are gel nails vs acrylic nails,['Gel nails tend to provide a more glossy and natural look whereas acrylic are more sturdy and durable as compared to gel.'],['Gel nails tend to provide a more glossy and natural look whereas acrylic are more sturdy and durable as compared to gel.'],"Most gel nails are cured under uv-light; some cure with a gel activator and do not require uv-light (no-light gels). Gel nails can be applied with or without a base or primer. (CND GEL uses a non-acid primer to bond the gel to the nail). If primer is applied correctly, it does not damage the nail bed."
if a competitive firm continues to produce when marginal revenue is less than marginal cost,['Firm is losing profit with each additional unit of output and it should produce less.'],"['If a competitive firm continues to produce when marginal revenue is less than marginal cost, the firm is losing profit with each additional unit of output and it should produce less.']","A rational, profit-maximizing firm will choose to produce the quantity where marginal cost is equal to marginal revenue, or where the MC and MR curves intersect. This is true for both competitive firms and monopolies, although the implications are different."
powershell script to delete files older than x months,['Get-ChildItem $env:temp /myfiles | where { $_ .Lastwritetime-lt (date).addminutes(- 15)} | remove-item.'],['The powershell script to delete files older than x months is Get-ChildItem $env:temp /myfiles | where { $_ .Lastwritetime-lt (date).addminutes(- 15)} | remove-item.'],"More on that here. Note that if we want to delete all files older than X we would use-lt. ie, the timestamp of the file is older than 15 minutes ago. If we want to delete files newer than X we would use-gt. ie, the timestamp of the file is newer than 15 minutes ago.X, in our case, is the time now minus 15 minutes.owershell: delete files older than X. It really is that easy. Get-ChildItem $env:temp /myfiles | where { $_ .Lastwritetime-lt (date).addminutes(- 15)} | remove-item. E verybody has needed the 'delete files older than X' script."
what is harder brass or bronze,['Bronze'],['Bronze is harder than brass.'],"Posted: April 21, 2015. Copper, Brass and Bronze, otherwise known as the “Red Metals”, may look the same initially but are actually quite different. Copper. Copper is used in a wide range of products due to its excellent electrical and thermal conductivity, good strength, good formability and resistance to corrosion."
what does the superior cerebellar peduncle do,['Principle efferent (out of) pathway of the cerebellum. Plays a major role in the coordination of the IPSI.'],['The superior cerebellar peduncle plays a major role in the coordination of the International Peace and Security Institute.'],The superior cerebellar peduncle (brachium conjunctivum) is one of the structures that connect the cerebellum to the midbrain.It consists mainly of efferent fibers from the cerebellum to the thalamus and red nucleus. It also contains fibers of the ventral spinocerebellar tract (afferent to the cerebellum).The superior peduncle emerges from the upper and medial part of the white matter of each hemisphere and is placed under cover of the upper part of the cerebellum.he superior peduncle emerges from the upper and medial part of the white matter of each hemisphere and is placed under cover of the upper part of the cerebellum.
at what age can babies eat solid food,['4- to 6-month'],['A baby can eat solid food at the age of 4 to 6 months.'],"Your baby's first foods can include mashed or soft cooked fruit and vegetables like parsnip, potato, yam, sweet potato, carrot, apple or pear, all cooled before eating. Soft fruits like peach or melon, or baby rice or baby cereal mixed with your baby's usual milk, are good as well."
male doctor salary vs female,"['$35,300 more than a female doctor']","['The salary of male doctor is $35,300 more than a female doctor.']","In 2008, a male doctor in his first year earned $35,300 more than a female doctor in her first year. This was an increase from the 1999 salary gap, which was $21,778 for first-year physicians, according to a study published in the February 2011 issue of Health Affairs that's cited by David W. Freeman on CBSNews.com."
photosynthesis vs respiration definition,"['Photosynthesis converts the light energy obtained from the sun into chemical energy of sugar and oxygen, whereas cellular respiration is a biochemical process by which cells obtain energy from the chemical bonds of food molecules.']","['Photosynthesis converts the light energy obtained from the sun into chemical energy of sugar and oxygen, whereas cellular respiration is a biochemical process by which cells obtain energy from the chemical bonds of food molecules.']","Photosynthesis converts the light energy obtained from the sun into chemical energy of sugar and oxygen, whereas cellular respiration is a biochemical process by which cells obtain energy from the chemical bonds of food molecules.Photosynthesis and cellular respiration are both key processes for life.ellular respiration is the process used by animals to obtain energy from organic compounds they eat. Difference between Photosynthesis and Cellular Respiration. Both Photosynthesis and Cellular Respiration are processes, which organisms use to obtain energy to sustain life."
hulk vs thor who wins,['hulk'],"['In Hulk verses Thor, Hulk wins.', 'Hulk wins againts Thor.']","Out of your characters, I’d say the winner is Odinforce Thor, but only if Pre-Crisis Superman does not include Silver Age. Otherwise, Silver Age Superman wins. Worldbreaker Hulk can break planets but Superman breaks Solar Systems with his sneezes."
is molybdenum a solid liquid or gas,['Solid'],['Molybdenum is a solid.'],"The advantages and disadvantages of solid lubricants are rather like the extremes for greases, where the lubricant will not flow at all. Similarly, the advantages and disadvantages of gas lubricants are like the extremes of oils, where the flow properties are almost too good."
